school_name,school_rank,school_address
七台河职业学院,1252,黑龙江省
三峡大学,130,湖北省
三峡大学科技学院,1480,湖北省
三明医学科技职业学院,1002,福建省
三明学院,266,福建省
三江学院,1374,江苏省
三门峡社会管理职业学院,469,河南省
三门峡职业技术学院,1596,河南省
上海东海职业技术学院,878,上海市
上海中侨职业技术大学,924,上海市
上海中医药大学,1452,上海市
上海中华职业技术学院,1525,上海市
上海交通大学,4,上海市
上海交通职业技术学院,1603,上海市
上海体育大学,442,上海市
上海健康医学院,1617,上海市
上海公安学院,403,上海市
上海兴伟学院,1386,上海市
上海农林职业技术学院,1580,上海市
上海出版印刷高等专科学校,1484,上海市
上海南湖职业技术学院,1090,上海市
上海商学院,1529,上海市
上海城建职业学院,724,上海市
上海外国语大学,1543,上海市
上海外国语大学贤达经济人文学院,870,上海市
上海大学,43,上海市
上海对外经贸大学,501,上海市
上海工会管理职业学院,701,上海市
上海工商外国语职业学院,408,上海市
上海工商职业技术学院,1467,上海市
上海工程技术大学,164,上海市
上海工艺美术职业学院,1707,上海市
上海师范大学,86,上海市
上海师范大学天华学院,556,上海市
上海应用技术大学,180,上海市
上海建桥学院,1765,上海市
上海建设管理职业技术学院,632,上海市
上海思博职业技术学院,641,上海市
上海戏剧学院,1622,上海市
上海政法学院,511,上海市
上海旅游高等专科学校,1009,上海市
上海杉达学院,599,上海市
上海欧华职业技术学院,994,上海市
上海民航职业技术学院,793,上海市
上海民远职业技术学院,1497,上海市
上海济光职业技术学院,1410,上海市
上海浦东职业技术学院,778,上海市
上海海事大学,127,上海市
上海海事职业技术学院,671,上海市
上海海关学院,192,上海市
上海海洋大学,105,上海市
上海现代化工职业学院,1724,上海市
上海理工大学,77,上海市
上海电力大学,142,上海市
上海电子信息职业技术学院,1437,上海市
上海电影艺术职业学院,1665,上海市
上海电机学院,236,上海市
上海科创职业技术学院,1290,上海市
上海科学技术职业学院,417,上海市
上海科技大学,30,上海市
上海立信会计金融学院,1063,上海市
上海立达学院,940,上海市
上海第二工业大学,234,上海市
上海纽约大学,530,上海市
上海行健职业学院,466,上海市
上海视觉艺术学院,1798,上海市
上海财经大学,618,上海市
上海财经大学浙江学院,1120,浙江省
上海邦德职业技术学院,636,上海市
上海闵行职业技术学院,705,上海市
上海震旦职业学院,1397,上海市
上海音乐学院,1356,上海市
上饶卫生健康职业学院,714,江西省
上饶师范学院,299,江西省
上饶幼儿师范高等专科学校,1512,江西省
上饶职业技术学院,1390,江西省
东北农业大学,88,黑龙江省
东北大学,28,辽宁省
东北师范大学,34,吉林省
东北林业大学,83,黑龙江省
东北电力大学,183,吉林省
东北石油大学,160,黑龙江省
东北财经大学,587,辽宁省
东华大学,56,上海市
东华理工大学,173,江西省
东南大学,11,江苏省
东南大学成贤学院,491,江苏省
东营科技职业学院,1651,山东省
